Year,Age,Ethnic,Sex,Area,count
2018,0,1,1,1,807
2018,0,1,1,2,5109
2018,0,1,1,3,2262
2018,0,1,1,4,1359
2018,0,1,1,5,180
2018,0,1,1,6,741
2018,0,1,1,7,633
2018,0,1,1,8,1206
2018,0,1,1,9,2184
2018,0,1,1,12,177
2018,0,1,1,13,2832
2018,0,1,1,14,1047
2018,0,1,1,15,525
2018,0,1,1,16,228
2018,0,1,1,17,222
2018,0,1,1,18,240
2018,0,1,1,99,..C
2018,0,1,1,9999,19758
2018,0,1,1,77,19755
2018,0,1,2,1,783
2018,0,1,2,2,4812
2018,0,1,2,3,2124
2018,0,1,2,4,1347
2018,0,1,2,5,177
2018,0,1,2,6,717
2018,0,1,2,7,582
2018,0,1,2,8,1122
2018,0,1,2,9,2121
2018,0,1,2,12,174
2018,0,1,2,13,2793
2018,0,1,2,14,975
2018,0,1,2,15,519
2018,0,1,2,16,198
2018,0,1,2,17,210
2018,0,1,2,18,213
2018,0,1,2,99,..C
2018,0,1,2,9999,18873
2018,0,1,2,77,18867
2018,0,1,9,1,1590
2018,0,1,9,2,9921
2018,0,1,9,3,4389
2018,0,1,9,4,2706
2018,0,1,9,5,357
2018,0,1,9,6,1461
2018,0,1,9,7,1218
2018,0,1,9,8,2331
2018,0,1,9,9,4308
2018,0,1,9,12,351
2018,0,1,9,13,5622
2018,0,1,9,14,2022
2018,0,1,9,15,1044
2018,0,1,9,16,423
2018,0,1,9,17,432
2018,0,1,9,18,453
2018,0,1,9,99,6
2018,0,1,9,9999,38631
2018,0,1,9,77,38625
2018,0,2,1,1,648
2018,0,2,1,2,1902
2018,0,2,1,3,1239
2018,0,2,1,4,912
2018,0,2,1,5,240
2018,0,2,1,6,480
2018,0,2,1,7,237
2018,0,2,1,8,627
2018,0,2,1,9,738
2018,0,2,1,12,48
2018,0,2,1,13,654
2018,0,2,1,14,210
2018,0,2,1,15,162
2018,0,2,1,16,45
2018,0,2,1,17,72
2018,0,2,1,18,69
2018,0,2,1,99,..C
2018,0,2,1,9999,8289
2018,0,2,1,77,8286
2018,0,2,2,1,645
2018,0,2,2,2,1833
2018,0,2,2,3,1164
2018,0,2,2,4,933
2018,0,2,2,5,237
2018,0,2,2,6,462
2018,0,2,2,7,231
2018,0,2,2,8,570
2018,0,2,2,9,717
2018,0,2,2,12,42
2018,0,2,2,13,639
2018,0,2,2,14,195
2018,0,2,2,15,159
2018,0,2,2,16,45
2018,0,2,2,17,54
2018,0,2,2,18,69
2018,0,2,2,99,..C
2018,0,2,2,9999,7998
2018,0,2,2,77,7995
2018,0,2,9,1,1296
2018,0,2,9,2,3735
2018,0,2,9,3,2403
2018,0,2,9,4,1845
2025,0,2,9,5,477
2025,0,2,9,6,942
2025,0,2,9,7,468
2025,0,2,9,8,1197
2025,0,2,9,9,1455
2025,0,2,9,12,90
2025,0,2,9,13,1299
2025,0,2,9,14,405
2025,0,2,9,15,321
2025,0,2,9,16,90
2025,0,2,9,17,129
2025,0,2,9,18,138
2025,0,2,9,99,6
2025,0,2,9,9999,16287
2025,0,2,9,77,16281
2025,0,3,1,1,105
2025,0,3,1,2,2637
2025,0,3,1,3,258
2025,0,3,1,4,165
2025,0,3,1,5,33
2025,0,3,1,6,153
2025,0,3,1,7,33
2025,0,3,1,8,138
2025,0,3,1,9,447
2025,0,3,1,12,6
2025,0,3,1,13,276
2025,0,3,1,14,75
2025,0,3,1,15,33
2025,0,3,1,16,15
2025,0,3,1,17,15
2025,0,3,1,18,27
2025,0,3,1,99,..C
2025,0,3,1,9999,4410
2025,0,3,1,77,4410
2025,0,3,2,1,111
2025,0,3,2,2,2493
2025,0,3,2,3,279
2025,0,3,2,4,135
2025,0,3,2,5,33
2025,0,3,2,6,108
2025,0,3,2,7,30
2025,0,3,2,8,129
2025,0,3,2,9,438
2025,0,3,2,12,6
2025,0,3,2,13,225
2025,0,3,2,14,63
2025,0,3,2,15,48
2025,0,3,2,16,6
2025,0,3,2,17,21
2025,0,3,2,18,15
2025,0,3,2,99,..C
2025,0,3,2,9999,4137
2025,0,3,2,77,4137
2025,0,3,9,1,216
2025,0,3,9,2,5130
2025,0,3,9,3,537
2025,0,3,9,4,297
2025,0,3,9,5,66
2025,0,3,9,6,261
2025,0,3,9,7,66
2025,0,3,9,8,267
2025,0,3,9,9,885
2025,0,3,9,12,12
2025,0,3,9,13,501
2025,0,3,9,14,135
2025,0,3,9,15,81
2025,0,3,9,16,18
2025,0,3,9,17,36
2025,0,3,9,18,39
2025,0,3,9,99,..C
2025,0,3,9,9999,8550
2025,0,3,9,77,8550
2025,0,4,1,1,72
2025,0,4,1,2,3360
2025,0,4,1,3,408
2025,0,4,1,4,216
2025,0,4,1,5,12
2025,0,4,1,6,75
2025,0,4,1,7,63
2025,0,4,1,8,147
2025,0,4,1,9,543
2025,0,4,1,12,12
2025,0,4,1,13,588
2025,0,4,1,14,108
2025,0,4,1,15,48
2025,0,4,1,16,9
2025,0,4,1,17,39
2025,0,4,1,18,21
2025,0,4,1,99,..C
2025,0,4,1,9999,5715
2025,0,4,1,77,5715
2025,0,4,2,1,78
2025,0,4,2,2,3177
2025,0,4,2,3,363
2025,0,4,2,4,219
2025,0,4,2,5,18
2025,0,4,2,6,81
2025,0,4,2,7,57
2025,0,4,2,8,147
2025,0,4,2,9,531
2030,0,4,2,12,15
2030,0,4,2,13,519
2030,0,4,2,14,117
2030,0,4,2,15,51
2030,0,4,2,16,9
2030,0,4,2,17,42
2030,0,4,2,18,15
2030,0,4,2,99,..C
2030,0,4,2,9999,5436
2030,0,4,2,77,5436
2030,0,4,9,1,150
2030,0,4,9,2,6537
2030,0,4,9,3,771
2030,0,4,9,4,438
2030,0,4,9,5,30
2030,0,4,9,6,153
2030,0,4,9,7,120
2030,0,4,9,8,291
2030,0,4,9,9,1077
2030,0,4,9,12,27
2030,0,4,9,13,1104
2030,0,4,9,14,225
2030,0,4,9,15,102
2030,0,4,9,16,18
2030,0,4,9,17,81
2030,0,4,9,18,36
2030,0,4,9,99,..C
2030,0,4,9,9999,11151
2030,0,4,9,77,11151
2030,0,5,1,1,12
2030,0,5,1,2,318
2030,0,5,1,3,51
2030,0,5,1,4,33
2030,0,5,1,5,6
2030,0,5,1,6,15
2030,0,5,1,7,9
2030,0,5,1,8,24
2030,0,5,1,9,99
2030,0,5,1,12,0
2030,0,5,1,13,75
2030,0,5,1,14,33
2030,0,5,1,15,6
2030,0,5,1,16,3
2030,0,5,1,17,0
2030,0,5,1,18,6
2030,0,5,1,99,..C
2030,0,5,1,9999,684
2030,0,5,1,77,684
2030,0,5,2,1,9
2030,0,5,2,2,324
2030,0,5,2,3,72
2030,0,5,2,4,21
2030,0,5,2,5,3
2030,0,5,2,6,15
2030,0,5,2,7,12
2030,0,5,2,8,18
2030,0,5,2,9,108
2030,0,5,2,12,0
2030,0,5,2,13,66
2030,0,5,2,14,33
2030,0,5,2,15,3
2030,0,5,2,16,3
2030,0,5,2,17,3
2030,0,5,2,18,3
2030,0,5,2,99,..C
2030,0,5,2,9999,693
2030,0,5,2,77,693
2030,0,5,9,1,24
2030,0,5,9,2,645
2030,0,5,9,3,123
2030,0,5,9,4,51
2030,0,5,9,5,9
2030,0,5,9,6,30
2030,0,5,9,7,18
2030,0,5,9,8,42
2030,0,5,9,9,207
2030,0,5,9,12,3
2030,0,5,9,13,141
2030,0,5,9,14,66
2030,0,5,9,15,12
2030,0,5,9,16,3
2030,0,5,9,17,3
2030,0,5,9,18,9
2030,0,5,9,99,..C
2030,0,5,9,9999,1377
2030,0,5,9,77,1377
2030,0,6,1,1,9
2030,0,6,1,2,111
2030,0,6,1,3,42
2030,0,6,1,4,15
